estado,tokenFinal,categoria,transicionesDefinidas,simbolo:a,simbolo:b,simbolo:c,simbolo:d,simbolo:e,simbolo:f,simbolo:g,simbolo:h,simbolo:i,simbolo:j,simbolo:k,simbolo:l,simbolo:m,simbolo:n,simbolo:ñ,simbolo:o,simbolo:p,simbolo:q,simbolo:r,simbolo:s,simbolo:t,simbolo:u,simbolo:v,simbolo:w,simbolo:x,simbolo:y,simbolo:z,simbolo:0,simbolo:1,simbolo:2,simbolo:3,simbolo:4,simbolo:5,simbolo:6,simbolo:7,simbolo:8,simbolo:9,simbolo:+,simbolo:-,simbolo:*,simbolo:/,simbolo:%,simbolo:<,simbolo:>,simbolo:=,simbolo:!,simbolo:&,simbolo:|,simbolo:.,simbolo:coma,simbolo:;,simbolo::,simbolo:{,simbolo:},simbolo:(,simbolo:),simbolo:[,simbolo:],simbolo:_,simbolo:comilla_doble,simbolo:espacio
39,,No final,1,200,200,200,200,40,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
40,,No final,1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,41,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
41,,No final,1,200,200,200,200,200,42,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
42,,No final,1,43,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
43,,No final,1,200,200,44,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
44,,No final,1,200,200,200,200,45,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
45,interface,Reservada,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
46,,No final,2,200,200,200,200,47,200,200,200,200,200,200,200,200,200,200,49,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
47,,No final,1,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,48,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
48,let,Reservada,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
